# Ping pong run at Thu Mar  7 11:25:41 2024
# Data Size 16
# iteration, total time taken ac-240
# Processor 1 with MPI name: lac-241
# iteration, total time taken
1,  0.00316231
2,  2.55285e-05
3,  2.57622e-05
4,  2.52388e-05
5,  3.25032e-05
6,  1.86283e-05
7,  1.76467e-05
8,  1.8483e-05
9,  2.5453e-05
10,  2.47052e-05
11,  3.23188e-05
12,  2.53841e-05
13,  2.48551e-05
14,  1.88425e-05
15,  1.77901e-05
16,  1.74893e-05
17,  1.75722e-05
18,  1.72351e-05
19,  1.7303e-05
20,  7.03987e-05
21,  1.70199e-05
22,  2.52761e-05
23,  2.50349e-05
24,  2.54661e-05
25,  2.50619e-05
26,  2.50302e-05
27,  2.45664e-05
28,  2.48849e-05
29,  2.56356e-05
30,  2.55862e-05
31,  2.53748e-05
32,  2.49129e-05
33,  3.1014e-05
34,  1.70609e-05
35,  2.85776e-05
36,  1.74576e-05
37,  1.69966e-05
38,  1.73552e-05
39,  2.22689e-05
40,  1.68001e-05
41,  1.84216e-05
42,  1.767e-05
43,  1.69007e-05
44,  1.70395e-05
45,  1.80807e-05
46,  1.66781e-05
47,  1.72537e-05
48,  2.57511e-05
49,  2.37674e-05
50,  1.71866e-05
51,  1.74278e-05
52,  1.7303e-05
53,  1.76653e-05
54,  1.79838e-05
55,  1.72565e-05
56,  3.00696e-05
57,  2.87639e-05
58,  1.74958e-05
59,  2.63173e-05
60,  2.45143e-05
61,  2.86736e-05
62,  1.77864e-05
63,  1.71727e-05
64,  1.64025e-05
65,  2.74777e-05
66,  2.96244e-05
67,  1.6938e-05
68,  1.69491e-05
69,  1.73999e-05
70,  1.73664e-05
71,  2.78931e-05
72,  1.76635e-05
73,  1.6626e-05
74,  1.72295e-05
75,  1.84672e-05
76,  1.76849e-05
77,  1.74399e-05
78,  2.80244e-05
79,  1.67182e-05
80,  1.70013e-05
81,  1.68849e-05
82,  1.63317e-05
83,  4.04576e-05
84,  1.67666e-05
85,  3.01981e-05
86,  1.69966e-05
87,  1.74232e-05
88,  2.72263e-05
89,  1.69883e-05
90,  1.73897e-05
91,  3.02717e-05
92,  1.75517e-05
93,  1.69529e-05
94,  1.70823e-05
95,  1.73235e-05
96,  1.68961e-05
97,  1.67387e-05
98,  2.88105e-05
99,  1.6747e-05
100,  2.65194e-05
