# Ping pong run at Thu Mar  7 11:25:59 2024
# Data Size 2048
# Processor 0 with MPI name: lac-240
# Processor 1 with MPI name: lac-241
# iteration, total time taken
1,  8.43471e-05
2,  3.64315e-05
3,  4.05936e-05
4,  4.00869e-05
5,  4.0276e-05
6,  4.01828e-05
7,  3.93325e-05
8,  3.98243e-05
9,  4.01149e-05
10,  4.01102e-05
11,  4.06625e-05
12,  4.01624e-05
13,  4.01512e-05
14,  3.99426e-05
15,  4.03654e-05
16,  3.97936e-05
17,  4.9632e-05
18,  3.99891e-05
19,  4.14457e-05
20,  3.97209e-05
21,  4.01475e-05
22,  3.95225e-05
23,  5.81983e-05
24,  3.91146e-05
25,  3.98969e-05
26,  4.03635e-05
27,  4.0086e-05
28,  3.94816e-05
29,  3.98261e-05
30,  4.43235e-05
31,  3.241e-05
32,  3.24706e-05
33,  3.18773e-05
34,  3.18643e-05
35,  3.18531e-05
36,  3.20505e-05
37,  3.62424e-05
38,  3.21679e-05
39,  3.73889e-05
40,  3.16454e-05
41,  3.63756e-05
42,  3.21418e-05
43,  3.42242e-05
44,  3.20105e-05
45,  3.15839e-05
46,  3.18699e-05
47,  3.52012e-05
48,  3.73237e-05
49,  3.15616e-05
50,  3.16659e-05
51,  3.20356e-05
52,  3.71374e-05
53,  3.16137e-05
54,  3.2085e-05
55,  3.18624e-05
56,  3.19229e-05
57,  3.16678e-05
58,  3.21819e-05
59,  3.55095e-05
60,  4.44921e-05
61,  3.18652e-05
62,  3.19406e-05
63,  3.16333e-05
64,  3.1936e-05
65,  3.08538e-05
66,  3.16259e-05
67,  3.13725e-05
68,  3.70257e-05
69,  3.13148e-05
70,  3.17292e-05
71,  3.21195e-05
72,  5.85988e-05
73,  3.11658e-05
74,  3.19192e-05
75,  3.23905e-05
76,  3.17646e-05
77,  3.19201e-05
78,  3.16696e-05
79,  3.62583e-05
80,  3.45353e-05
81,  3.19686e-05
82,  3.28571e-05
83,  3.84236e-05
84,  3.15206e-05
85,  3.17562e-05
86,  3.22852e-05
87,  3.12757e-05
88,  3.19146e-05
89,  3.11509e-05
90,  3.16706e-05
91,  3.18792e-05
92,  3.19639e-05
93,  3.18876e-05
94,  3.15635e-05
95,  3.22433e-05
96,  3.17544e-05
97,  3.15914e-05
98,  3.14051e-05
99,  3.17013e-05
100,  3.18065e-05
