# Ping pong run at Thu Feb 29 18:57:54 2024
# Data Size 2048
# Processor 0 with MPI name: lac-294
# Processor 1 with MPI name: lac-295
# iteration, total time taken
1,  0.000301127
2,  0.00022828
3,  0.000223705
4,  0.000225647
5,  0.000212644
6,  0.000220419
7,  0.000217368
8,  0.000217722
9,  0.000212488
10,  0.000217226
11,  0.000194238
12,  0.00019016
13,  0.000207345
14,  0.000211181
15,  0.000229073
16,  0.000193538
17,  0.00018895
18,  0.000193876
19,  0.000188756
20,  0.000221947
21,  0.000213997
22,  0.000214729
23,  0.000204837
24,  0.000192802
25,  0.000219058
26,  0.000189479
27,  0.000211473
28,  0.000188661
29,  0.000204554
30,  0.000209747
31,  0.000189917
32,  0.00018977
33,  0.000208254
34,  0.000207956
35,  0.000205962
36,  0.000207541
37,  0.000208057
38,  0.000209488
39,  0.000205941
40,  0.000219504
41,  0.000223684
42,  0.000191947
43,  0.000246559
44,  0.000190852
45,  0.000188323
46,  0.000189
47,  0.000189495
48,  0.000192801
49,  0.000188255
50,  0.000192304
51,  0.000188228
52,  0.000192693
53,  0.000188801
54,  0.000191179
55,  0.000190062
56,  0.000187325
57,  0.000189731
58,  0.000189604
59,  0.000185615
60,  0.000205976
61,  0.00021234
62,  0.000193324
63,  0.000191748
64,  0.000199387
65,  0.000190726
66,  0.000188969
67,  0.000187571
68,  0.000190655
69,  0.000188976
70,  0.000193759
71,  0.000189827
72,  0.000189212
73,  0.000190442
74,  0.000191864
75,  0.000187264
76,  0.000186971
77,  0.000187306
78,  0.000207813
79,  0.00020423
80,  0.000209142
81,  0.000210897
82,  0.000210799
83,  0.000213873
84,  0.000214814
85,  0.00022552
86,  0.00021774
87,  0.000217211
88,  0.000215149
89,  0.000190319
90,  0.000194011
91,  0.000192625
92,  0.000191639
93,  0.000190744
94,  0.000199612
95,  0.000192215
96,  0.000191405
97,  0.000188142
98,  0.00018804
99,  0.000208689
100,  0.000208111
