# Ping pong run at Thu Feb 29 18:57:55 2024
# Data Size 4096
# iteration, total time taken ac-294
# Processor 1 with MPI name: lac-295
# iteration, total time taken
1,  0.00787987
2,  0.000291294
3,  0.000252815
4,  0.000253676
5,  0.0002787
6,  0.00024883
7,  0.000247375
8,  0.000250086
9,  0.00024796
10,  0.000269813
11,  0.000254845
12,  0.000248326
13,  0.000250897
14,  0.000252003
15,  0.0002667
16,  0.000270032
17,  0.000282935
18,  0.000248759
19,  0.000266917
20,  0.000250977
21,  0.000257936
22,  0.00024763
23,  0.000246298
24,  0.000258755
25,  0.000256903
26,  0.000251444
27,  0.00024687
28,  0.000247604
29,  0.000248158
30,  0.000248457
31,  0.000250445
32,  0.000246244
33,  0.000250854
34,  0.000247909
35,  0.000244916
36,  0.000246997
37,  0.000248078
38,  0.000247375
39,  0.000248038
40,  0.000245648
41,  0.000248517
42,  0.000255779
43,  0.000245474
44,  0.000246651
45,  0.000248876
46,  0.000252999
47,  0.000244255
48,  0.000244978
49,  0.000247611
50,  0.000246025
51,  0.000249655
52,  0.000249736
53,  0.000246317
54,  0.00025186
55,  0.000246907
56,  0.000249024
57,  0.000244072
58,  0.000245444
59,  0.000246859
60,  0.000249699
61,  0.000250597
62,  0.000247695
63,  0.000256647
64,  0.000251469
65,  0.000260055
66,  0.000249419
67,  0.000245892
68,  0.000248454
69,  0.000248029
70,  0.000246906
71,  0.000246298
72,  0.00025036
73,  0.000245041
74,  0.00024371
75,  0.000245859
76,  0.000250529
77,  0.000245401
78,  0.000247758
79,  0.000246387
80,  0.000253492
81,  0.000247022
82,  0.000247313
83,  0.000251554
84,  0.000247814
85,  0.000246462
86,  0.000249911
87,  0.000248307
88,  0.000246567
89,  0.000259572
90,  0.000246618
91,  0.000246252
92,  0.000250167
93,  0.000256369
94,  0.000247904
95,  0.000251077
96,  0.000250455
97,  0.000249752
98,  0.000249193
99,  0.000251886
100,  0.00024718
