# Ping pong run at Tue Mar 12 10:49:53 2024
# Data Size 1024
# iteration, total time taken ac-079
# Processor 1 with MPI name: lac-421
# iteration, total time taken
1,  0.00255582
2,  3.20608e-05
3,  3.854e-05
4,  3.84571e-05
5,  3.29809e-05
6,  4.54225e-05
7,  2.55769e-05
8,  2.43904e-05
9,  2.45171e-05
10,  2.35299e-05
11,  2.41213e-05
12,  2.4396e-05
13,  2.38717e-05
14,  2.4342e-05
15,  7.02608e-05
16,  2.43289e-05
17,  2.45525e-05
18,  3.53893e-05
19,  2.35941e-05
20,  3.28235e-05
21,  2.48039e-05
22,  3.18438e-05
23,  2.55629e-05
24,  2.58498e-05
25,  2.3989e-05
26,  4.88879e-05
27,  2.4518e-05
28,  2.67467e-05
29,  2.45403e-05
30,  3.76143e-05
31,  2.39098e-05
32,  2.45217e-05
33,  2.44668e-05
34,  2.40756e-05
35,  2.95611e-05
36,  2.68016e-05
37,  2.42228e-05
38,  2.43885e-05
39,  2.45925e-05
40,  2.40104e-05
41,  2.42991e-05
42,  2.41622e-05
43,  2.45227e-05
44,  4.23575e-05
45,  2.41315e-05
46,  2.32039e-05
47,  6.07735e-05
48,  2.37999e-05
49,  2.47322e-05
50,  3.65758e-05
51,  2.36519e-05
52,  2.40291e-05
53,  2.41762e-05
54,  2.39983e-05
55,  2.41483e-05
56,  3.53279e-05
57,  2.4179e-05
58,  2.32439e-05
59,  2.45692e-05
60,  2.44407e-05
61,  2.38772e-05
62,  3.4648e-05
63,  2.33185e-05
64,  2.34656e-05
65,  2.46912e-05
66,  3.7129e-05
67,  4.49773e-05
68,  2.5006e-05
69,  2.43885e-05
70,  2.41231e-05
71,  2.43764e-05
72,  2.44165e-05
73,  3.18699e-05
74,  2.42181e-05
75,  2.44062e-05
76,  2.37357e-05
77,  2.38596e-05
78,  2.34367e-05
79,  5.99427e-05
80,  3.65609e-05
81,  2.55536e-05
82,  3.75612e-05
83,  2.63993e-05
84,  3.31011e-05
85,  5.61634e-05
86,  2.44817e-05
87,  2.34153e-05
88,  5.41685e-05
89,  2.46437e-05
90,  2.49259e-05
91,  2.41399e-05
92,  2.42852e-05
93,  2.45506e-05
94,  3.26317e-05
95,  2.40253e-05
96,  2.40998e-05
97,  2.94112e-05
98,  2.40104e-05
99,  2.41017e-05
100,  2.38614e-05
