# Ping pong run at Tue Mar 12 10:49:47 2024
# Data Size 64
# Processor 0 with MPI name: lac-079
# Processor 1 with MPI name: lac-421
# iteration, total time taken
1,  5.43082e-05
2,  1.87289e-05
3,  1.68914e-05
4,  1.62823e-05
5,  2.4193e-05
6,  2.53683e-05
7,  1.65617e-05
8,  1.58623e-05
9,  1.64025e-05
10,  1.51061e-05
11,  1.62292e-05
12,  1.63214e-05
13,  1.60085e-05
14,  2.8844e-05
15,  1.60784e-05
16,  1.5297e-05
17,  1.5975e-05
18,  1.60038e-05
19,  1.57887e-05
20,  1.49226e-05
21,  1.58437e-05
22,  2.14316e-05
23,  1.62423e-05
24,  1.61175e-05
25,  1.55903e-05
26,  1.56481e-05
27,  1.59824e-05
28,  1.63559e-05
29,  1.57729e-05
30,  1.57263e-05
31,  1.59582e-05
32,  1.5812e-05
33,  1.56919e-05
34,  2.12286e-05
35,  1.52541e-05
36,  1.65505e-05
37,  1.57207e-05
38,  1.58409e-05
39,  1.55065e-05
40,  1.56797e-05
41,  1.55782e-05
42,  1.51284e-05
43,  1.64816e-05
44,  1.60309e-05
45,  2.49697e-05
46,  1.56835e-05
47,  1.55801e-05
48,  1.51265e-05
49,  1.5229e-05
50,  1.51461e-05
51,  1.53827e-05
52,  2.48412e-05
53,  1.79866e-05
54,  1.61156e-05
55,  1.54413e-05
56,  1.63708e-05
57,  1.55289e-05
58,  1.59377e-05
59,  1.59889e-05
60,  1.56593e-05
61,  1.67303e-05
62,  3.54154e-05
63,  1.59927e-05
64,  1.52858e-05
65,  1.52402e-05
66,  1.85352e-05
67,  1.54171e-05
68,  1.53407e-05
69,  1.6164e-05
70,  1.508e-05
71,  1.53231e-05
72,  1.53445e-05
73,  1.53501e-05
74,  1.53547e-05
75,  1.50623e-05
76,  1.55997e-05
77,  1.52281e-05
78,  1.52132e-05
79,  1.62488e-05
80,  1.52532e-05
81,  1.5527e-05
82,  1.51042e-05
83,  1.56239e-05
84,  1.56024e-05
85,  1.57338e-05
86,  1.60765e-05
87,  1.50083e-05
88,  1.60905e-05
89,  1.58362e-05
90,  1.59629e-05
91,  1.53333e-05
92,  1.61286e-05
93,  1.54721e-05
94,  1.55969e-05
95,  1.56183e-05
96,  1.60132e-05
97,  1.51498e-05
98,  1.5296e-05
99,  1.57952e-05
100,  1.57077e-05
