# Ping pong run at Tue Mar 12 10:49:47 2024
# Data Size 4096
# iteration, total time takenac-361
# Processor 1 with MPI name: lac-421
# iteration, total time taken
1,  0.00232164
2,  0.000300345
3,  0.000306871
4,  0.00030722
5,  0.000295138
6,  0.00031763
7,  0.000323371
8,  0.000290824
9,  0.00030222
10,  0.000278627
11,  0.000290728
12,  0.000316945
13,  0.000275066
14,  0.000295858
15,  0.000301483
16,  0.000271115
17,  0.000266012
18,  0.000313432
19,  0.00027888
20,  0.000293328
21,  0.000293179
22,  0.000266286
23,  0.00027715
24,  0.000276883
25,  0.00029066
26,  0.000303547
27,  0.000313725
28,  0.000291406
29,  0.000257025
30,  0.000280621
31,  0.000278925
32,  0.000303007
33,  0.000296127
34,  0.000307287
35,  0.000302463
36,  0.000293463
37,  0.000300205
38,  0.000306895
39,  0.000320494
40,  0.000290537
41,  0.00030416
42,  0.000302663
43,  0.00030337
44,  0.000291475
45,  0.000290378
46,  0.00030353
47,  0.000293653
48,  0.000292849
49,  0.000293575
50,  0.000290266
51,  0.000281556
52,  0.000278729
53,  0.000286375
54,  0.000277746
55,  0.000276417
56,  0.000282178
57,  0.000295518
58,  0.00027416
59,  0.000274038
60,  0.000280836
61,  0.000276634
62,  0.000281041
63,  0.000282058
64,  0.000281098
65,  0.000290523
66,  0.00027708
67,  0.000297528
68,  0.000274964
69,  0.00027272
70,  0.000278093
71,  0.000283634
72,  0.000284244
73,  0.000273852
74,  0.000273218
75,  0.000283972
76,  0.000274863
77,  0.000279902
78,  0.000286063
79,  0.000281661
80,  0.000275586
81,  0.000274924
82,  0.000296806
83,  0.000276298
84,  0.000275251
85,  0.000276415
86,  0.000282264
87,  0.000277539
88,  0.000275021
89,  0.000278928
90,  0.000284239
91,  0.000278885
92,  0.000296582
93,  0.000276549
94,  0.000281652
95,  0.000288404
96,  0.000278259
97,  0.000277882
98,  0.000297577
99,  0.00028077
100,  0.000293124
