# Ping pong run at Tue Mar 12 10:49:37 2024
# Data Size 64
# Processor 0 with MPI name: lac-361
# Processor 1 with MPI name: lac-421
# iteration, total time taken
1,  0.000203862
2,  0.000157866
3,  0.000169252
4,  0.000167351
5,  0.000166765
6,  0.000166962
7,  0.000181896
8,  0.000166113
9,  0.000158505
10,  0.000157884
11,  0.00016334
12,  0.000160464
13,  0.000165635
14,  0.000159117
15,  0.000160358
16,  0.000169517
17,  0.00016554
18,  0.000190162
19,  0.000166283
20,  0.000171131
21,  0.000162966
22,  0.000168151
23,  0.000156522
24,  0.000163362
25,  0.000173988
26,  0.000155516
27,  0.00016518
28,  0.000161304
29,  0.000169879
30,  0.00016158
31,  0.000169396
32,  0.000173956
33,  0.000159932
34,  0.000161352
35,  0.000157493
36,  0.000177818
37,  0.000155677
38,  0.00017009
39,  0.000158421
40,  0.000155486
41,  0.000164352
42,  0.000175533
43,  0.000176704
44,  0.000161778
45,  0.000161199
46,  0.000172101
47,  0.000162846
48,  0.000157176
49,  0.000173867
50,  0.000166137
51,  0.000158819
52,  0.000158782
53,  0.000182995
54,  0.000163396
55,  0.000164904
56,  0.000163769
57,  0.000161614
58,  0.000167415
59,  0.000183721
60,  0.000162493
61,  0.000155678
62,  0.000142278
63,  0.000145902
64,  0.000150685
65,  0.000137133
66,  0.000137926
67,  0.000143752
68,  0.000143423
69,  0.000165941
70,  0.000168891
71,  0.000173238
72,  0.000164464
73,  0.000173508
74,  0.000160774
75,  0.000154819
76,  0.000161134
77,  0.00017536
78,  0.000157978
79,  0.000160817
80,  0.000177418
81,  0.000178861
82,  0.000165959
83,  0.000172787
84,  0.000161457
85,  0.000158829
86,  0.000164988
87,  0.000163833
88,  0.000165465
89,  0.000155466
90,  0.000162036
91,  0.000162313
92,  0.000179654
93,  0.000158693
94,  0.000166891
95,  0.000173438
96,  0.000161866
97,  0.000161683
98,  0.000157995
99,  0.000171026
100,  0.000161896
