# Ping pong run at Wed Mar 13 11:49:06 2024
# Data Size 256
# Processor 0 with MPI name: lac-244
# Processor 1 with MPI name: lac-245
# iteration, total time taken
1,  0.000115714
2,  3.02019e-05
3,  3.02196e-05
4,  2.44556e-05
5,  5.03538e-05
6,  3.03183e-05
7,  4.04045e-05
8,  4.18639e-05
9,  2.11559e-05
10,  2.23909e-05
11,  3.03471e-05
12,  2.37189e-05
13,  2.73865e-05
14,  3.48389e-05
15,  2.27187e-05
16,  2.17007e-05
17,  2.28779e-05
18,  2.125e-05
19,  2.20612e-05
20,  2.22344e-05
21,  2.31778e-05
22,  2.21562e-05
23,  2.24244e-05
24,  2.35941e-05
25,  2.26274e-05
26,  2.05385e-05
27,  2.7271e-05
28,  2.21096e-05
29,  2.40915e-05
30,  2.31303e-05
31,  2.23462e-05
32,  2.06856e-05
33,  2.3732e-05
34,  3.05278e-05
35,  3.03145e-05
36,  2.24719e-05
37,  2.10004e-05
38,  2.11485e-05
39,  2.19401e-05
40,  2.06921e-05
41,  2.22037e-05
42,  2.1697e-05
43,  2.25697e-05
44,  2.08952e-05
45,  2.54754e-05
46,  2.17697e-05
47,  2.23061e-05
48,  2.03699e-05
49,  2.38698e-05
50,  2.08821e-05
51,  2.63425e-05
52,  2.15787e-05
53,  2.36761e-05
54,  2.05413e-05
55,  2.14363e-05
56,  2.36779e-05
57,  2.23052e-05
58,  2.10134e-05
59,  2.55676e-05
60,  2.58703e-05
61,  2.41427e-05
62,  2.78587e-05
63,  2.14316e-05
64,  2.09156e-05
65,  2.07797e-05
66,  2.05161e-05
67,  2.18041e-05
68,  2.21543e-05
69,  3.50066e-05
70,  2.12658e-05
71,  3.45921e-05
72,  2.07135e-05
73,  2.12863e-05
74,  2.70866e-05
75,  2.12053e-05
76,  2.19764e-05
77,  2.09669e-05
78,  2.12397e-05
79,  2.21329e-05
80,  2.21618e-05
81,  2.23285e-05
82,  2.95257e-05
83,  2.55015e-05
84,  2.10516e-05
85,  2.50079e-05
86,  3.85903e-05
87,  2.63834e-05
88,  2.20938e-05
89,  2.26311e-05
90,  2.18954e-05
91,  2.94885e-05
92,  2.13403e-05
93,  2.34488e-05
94,  2.40821e-05
95,  2.33045e-05
96,  2.27168e-05
97,  3.29744e-05
98,  2.22372e-05
99,  2.14754e-05
100,  2.17063e-05
