# Ping pong run at Wed Mar 13 11:48:24 2024
# Data Size 4
# iteration, total time takenac-244
# Processor 1 with MPI name: lac-245
# iteration, total time taken
1,  0.00606481
2,  4.82919e-05
3,  2.73949e-05
4,  3.01199e-05
5,  2.72896e-05
6,  2.74098e-05
7,  2.81325e-05
8,  2.75439e-05
9,  2.70521e-05
10,  2.38689e-05
11,  2.4084e-05
12,  2.16383e-05
13,  5.25909e-05
14,  2.0952e-05
15,  1.99564e-05
16,  2.60677e-05
17,  1.92588e-05
18,  1.84085e-05
19,  3.09516e-05
20,  1.82493e-05
21,  3.99537e-05
22,  1.98148e-05
23,  2.67727e-05
24,  2.48961e-05
25,  1.8361e-05
26,  1.97031e-05
27,  2.03205e-05
28,  1.88006e-05
29,  1.92747e-05
30,  1.82409e-05
31,  1.90223e-05
32,  2.01305e-05
33,  2.73855e-05
34,  1.9134e-05
35,  1.80174e-05
36,  2.53757e-05
37,  1.95047e-05
38,  1.87289e-05
39,  1.74725e-05
40,  1.80649e-05
41,  1.76681e-05
42,  1.79075e-05
43,  1.90651e-05
44,  2.97464e-05
45,  2.75206e-05
46,  1.87466e-05
47,  1.96779e-05
48,  1.99005e-05
49,  1.81552e-05
50,  1.771e-05
51,  3.13539e-05
52,  2.87136e-05
53,  2.01911e-05
54,  1.84132e-05
55,  1.83228e-05
56,  1.98921e-05
57,  1.95047e-05
58,  2.00737e-05
59,  2.38623e-05
60,  1.82409e-05
61,  2.50684e-05
62,  2.59355e-05
63,  2.44183e-05
64,  2.06931e-05
65,  1.93194e-05
66,  1.8754e-05
67,  1.99042e-05
68,  1.80621e-05
69,  1.99266e-05
70,  1.78264e-05
71,  1.7412e-05
72,  1.9609e-05
73,  1.88807e-05
74,  1.91135e-05
75,  1.84132e-05
76,  1.78264e-05
77,  1.77603e-05
78,  1.88341e-05
79,  1.91648e-05
80,  1.76542e-05
81,  1.76979e-05
82,  1.76877e-05
83,  1.94181e-05
84,  2.07191e-05
85,  2.03997e-05
86,  1.77603e-05
87,  1.80881e-05
88,  2.20211e-05
89,  2.06176e-05
90,  2.04863e-05
91,  1.86265e-05
92,  1.78935e-05
93,  1.7819e-05
94,  2.42526e-05
95,  1.94358e-05
96,  1.85389e-05
97,  1.88136e-05
98,  1.8388e-05
99,  2.04751e-05
100,  1.88909e-05
