# Ping pong run at Thu Feb 29 18:57:52 2024
# Data Size 256
# iteration, total time taken
ac-294
# Processor 1 with MPI name: lac-295
# iteration, total time taken
1,  0.00211005
2,  0.000132347
3,  0.000145071
4,  0.00011872
5,  0.000121556
6,  0.000118187
7,  0.00013776
8,  0.000119996
9,  0.000153204
10,  0.000144573
11,  0.000139164
12,  0.000127144
13,  0.000154874
14,  0.000118454
15,  0.000136906
16,  0.00013656
17,  0.000136496
18,  0.000144889
19,  0.000139179
20,  0.000138516
21,  0.000137482
22,  0.000146744
23,  0.000117832
24,  0.000119991
25,  0.00011794
26,  0.000156338
27,  0.000161092
28,  0.000120142
29,  0.000118241
30,  0.000140441
31,  0.000118013
32,  0.000121338
33,  0.00013911
34,  0.000133846
35,  0.000116511
36,  0.000146176
37,  0.000121037
38,  0.000119895
39,  0.000136495
40,  0.000128613
41,  0.000132185
42,  0.000127392
43,  0.000153801
44,  0.00012101
45,  0.00011839
46,  0.000157958
47,  0.000117454
48,  0.000135271
49,  0.000119803
50,  0.000142701
51,  0.000124277
52,  0.000117333
53,  0.0001268
54,  0.000122804
55,  0.00011638
56,  0.000120384
57,  0.000119351
58,  0.000119089
59,  0.000117864
60,  0.00012134
61,  0.000117958
62,  0.000117072
63,  0.000126924
64,  0.00011806
65,  0.000113874
66,  0.000116102
67,  0.000114155
68,  0.000116463
69,  0.000116608
70,  0.000116056
71,  0.00011499
72,  0.00011877
73,  0.000119722
74,  0.000116413
75,  0.000115101
76,  0.000117331
77,  0.000118559
78,  0.000116282
79,  0.000115027
80,  0.000118024
81,  0.000125224
82,  0.000120967
83,  0.000119122
84,  0.000117792
85,  0.000118288
86,  0.000119457
87,  0.000116955
88,  0.000117462
89,  0.000116715
90,  0.000115179
91,  0.000116649
92,  0.000114419
93,  0.000118303
94,  0.000115838
95,  0.000118835
96,  0.000127684
97,  0.000126139
98,  0.000120787
99,  0.000117722
100,  0.00011884
