# Ping pong run at Thu Feb 29 18:57:48 2024
# Data Size 32
# Processor 0 with MPI name: lac-294
# Processor 1 with MPI name: lac-295
# iteration, total time taken
1,  0.000157996
2,  0.000104715
3,  0.000126809
4,  9.99589e-05
5,  9.82545e-05
6,  9.92762e-05
7,  9.97977e-05
8,  0.000100544
9,  0.000114727
10,  0.000103851
11,  0.000140646
12,  0.0001064
13,  0.000100669
14,  0.000107978
15,  9.92091e-05
16,  0.000109785
17,  9.93311e-05
18,  0.000107968
19,  9.90359e-05
20,  0.000104846
21,  9.97288e-05
22,  0.000121347
23,  0.000114919
24,  9.7665e-05
25,  9.799e-05
26,  0.000125411
27,  0.000101284
28,  9.94671e-05
29,  9.91635e-05
30,  0.000100003
31,  0.000101669
32,  9.85907e-05
33,  0.000100411
34,  0.000101172
35,  9.93954e-05
36,  9.91551e-05
37,  9.77414e-05
38,  0.000100014
39,  9.92287e-05
40,  9.91262e-05
41,  9.9292e-05
42,  0.000100579
43,  9.8858e-05
44,  9.83048e-05
45,  9.78457e-05
46,  9.96329e-05
47,  0.000101216
48,  9.79919e-05
49,  9.98061e-05
50,  9.99896e-05
51,  0.00010292
52,  9.91253e-05
53,  9.81558e-05
54,  9.92622e-05
55,  0.000100585
56,  0.000100031
57,  9.89912e-05
58,  9.90368e-05
59,  0.000101972
60,  0.000100474
61,  9.90117e-05
62,  0.000100313
63,  9.80413e-05
64,  9.58452e-05
65,  9.93861e-05
66,  9.95286e-05
67,  0.000100775
68,  9.89484e-05
69,  9.86904e-05
70,  0.000100747
71,  0.000103717
72,  9.97381e-05
73,  9.94727e-05
74,  9.993e-05
75,  9.95304e-05
76,  0.000105647
77,  9.92874e-05
78,  9.91197e-05
79,  9.94541e-05
80,  0.000101021
81,  9.86233e-05
82,  9.94774e-05
83,  0.000100262
84,  9.90201e-05
85,  0.00010003
86,  9.93749e-05
87,  0.00010068
88,  9.76976e-05
89,  9.79481e-05
90,  9.8167e-05
91,  9.83039e-05
92,  9.71928e-05
93,  9.85209e-05
94,  9.82508e-05
95,  9.91188e-05
96,  0.000100757
97,  0.00010462
98,  9.89018e-05
99,  9.92343e-05
100,  0.0001058
