# Ping pong run at Tue Mar 12 11:50:35 2024
# Data Size 2048
# Processor 0 with MPI name: lac-363
# Processor 1 with MPI name: lac-364
# iteration, total time taken
1,  7.0489e-05
2,  3.25022e-05
3,  3.0295e-05
4,  6.15362e-05
5,  5.40512e-05
6,  4.74509e-05
7,  5.31226e-05
8,  4.84753e-05
9,  3.75863e-05
10,  3.88566e-05
11,  5.37056e-05
12,  3.72976e-05
13,  3.34783e-05
14,  3.03844e-05
15,  3.18959e-05
16,  3.72967e-05
17,  3.7536e-05
18,  6.35674e-05
19,  3.12896e-05
20,  3.23132e-05
21,  3.22722e-05
22,  4.53107e-05
23,  4.48832e-05
24,  2.95509e-05
25,  4.5266e-05
26,  4.01e-05
27,  5.29457e-05
28,  3.26606e-05
29,  5.5288e-05
30,  3.27704e-05
31,  4.63044e-05
32,  3.98988e-05
33,  6.06645e-05
34,  3.27332e-05
35,  3.33535e-05
36,  3.11565e-05
37,  4.53396e-05
38,  3.09302e-05
39,  4.60856e-05
40,  4.78625e-05
41,  3.1977e-05
42,  3.1122e-05
43,  3.03239e-05
44,  4.38979e-05
45,  4.90714e-05
46,  7.0123e-05
47,  8.63085e-05
48,  9.1617e-05
49,  2.85096e-05
50,  7.07656e-05
51,  3.14694e-05
52,  2.95117e-05
53,  6.88182e-05
54,  3.45279e-05
55,  3.78303e-05
56,  7.38064e-05
57,  6.77304e-05
58,  8.12234e-05
59,  3.57172e-05
60,  6.32461e-05
61,  3.0919e-05
62,  7.04098e-05
63,  4.49801e-05
64,  3.0078e-05
65,  2.85655e-05
66,  3.18922e-05
67,  3.10242e-05
68,  3.02279e-05
69,  4.74304e-05
70,  6.99265e-05
71,  6.97803e-05
72,  5.00986e-05
73,  2.86689e-05
74,  2.81958e-05
75,  3.10019e-05
76,  3.08622e-05
77,  4.51477e-05
78,  3.1014e-05
79,  3.18326e-05
80,  3.0796e-05
81,  4.52111e-05
82,  3.16575e-05
83,  3.00379e-05
84,  3.12105e-05
85,  4.51738e-05
86,  3.03406e-05
87,  2.98228e-05
88,  5.89592e-05
89,  3.06219e-05
90,  3.02419e-05
91,  3.13325e-05
92,  3.06126e-05
93,  3.02168e-05
94,  3.04114e-05
95,  3.13614e-05
96,  3.08529e-05
97,  3.0539e-05
98,  3.01059e-05
99,  5.26635e-05
100,  3.02959e-05
