# Ping pong run at Tue Mar 12 11:49:16 2024
# Data Size 8
# iteration, total time taken
ac-363
# Processor 1 with MPI name: lac-364
# iteration, total time taken
1,  0.0021168
2,  2.17976e-05
3,  1.87485e-05
4,  1.65608e-05
5,  1.6056e-05
6,  1.61864e-05
7,  1.7778e-05
8,  1.5974e-05
9,  3.22247e-05
10,  1.5392e-05
11,  2.01594e-05
12,  1.62218e-05
13,  1.5866e-05
14,  2.03131e-05
15,  1.69482e-05
16,  1.56136e-05
17,  2.05636e-05
18,  1.64621e-05
19,  1.62255e-05
20,  1.55084e-05
21,  1.55084e-05
22,  1.61184e-05
23,  2.21925e-05
24,  1.62376e-05
25,  1.56956e-05
26,  1.5703e-05
27,  3.76767e-05
28,  1.54618e-05
29,  1.57719e-05
30,  1.5338e-05
31,  2.15024e-05
32,  1.68411e-05
33,  3.98364e-05
34,  1.58204e-05
35,  2.73203e-05
36,  1.569e-05
37,  1.53249e-05
38,  1.57151e-05
39,  2.04053e-05
40,  1.66083e-05
41,  1.54702e-05
42,  1.62451e-05
43,  1.5635e-05
44,  1.52402e-05
45,  1.55661e-05
46,  1.52374e-05
47,  1.53696e-05
48,  1.55242e-05
49,  2.06539e-05
50,  2.00244e-05
51,  1.65496e-05
52,  1.5635e-05
53,  1.6286e-05
54,  1.54758e-05
55,  1.52886e-05
56,  1.54609e-05
57,  1.53938e-05
58,  1.62702e-05
59,  1.55391e-05
60,  1.52346e-05
61,  1.58297e-05
62,  1.52271e-05
63,  1.5663e-05
64,  1.5459e-05
65,  1.57496e-05
66,  1.54031e-05
67,  1.63801e-05
68,  1.56891e-05
69,  1.56052e-05
70,  1.53109e-05
71,  1.53091e-05
72,  1.59396e-05
73,  1.55987e-05
74,  1.59973e-05
75,  1.60392e-05
76,  1.55214e-05
77,  1.52504e-05
78,  1.58167e-05
79,  1.54087e-05
80,  1.55112e-05
81,  2.97558e-05
82,  1.52178e-05
83,  1.53538e-05
84,  1.54134e-05
85,  1.53668e-05
86,  3.06508e-05
87,  2.96161e-05
88,  1.56248e-05
89,  2.0409e-05
90,  1.65338e-05
91,  1.56127e-05
92,  1.55941e-05
93,  1.54646e-05
94,  2.02218e-05
95,  1.66949e-05
96,  2.02637e-05
97,  1.66902e-05
98,  1.55224e-05
99,  1.61771e-05
100,  1.53426e-05
