# Ping pong run at Tue Mar 12 10:49:37 2024
# Data Size 32
# Processor 0 with MPI name: lac-361
# Processor 1 with MPI name: lac-421
# iteration, total time taken
1,  0.000282164
2,  0.000189699
3,  0.000178371
4,  0.000175309
5,  0.000181681
6,  0.000173836
7,  0.000189048
8,  0.000155603
9,  0.000157989
10,  0.000155425
11,  0.000156342
12,  0.00016678
13,  0.000137953
14,  0.000164519
15,  0.000180453
16,  0.000159677
17,  0.000162518
18,  0.000155484
19,  0.000161212
20,  0.000158797
21,  0.000166603
22,  0.00016966
23,  0.000158203
24,  0.000158083
25,  0.000155091
26,  0.000159552
27,  0.000160721
28,  0.00015013
29,  0.000194801
30,  0.000160082
31,  0.00019826
32,  0.00018376
33,  0.000227179
34,  0.000192786
35,  0.000192337
36,  0.000203175
37,  0.000176859
38,  0.00018544
39,  0.000174646
40,  0.000155878
41,  0.000176689
42,  0.000190558
43,  0.000153427
44,  0.000157258
45,  0.000156961
46,  0.000152668
47,  0.000157394
48,  0.000159603
49,  0.000167215
50,  0.000185716
51,  0.000132785
52,  0.000126626
53,  0.000121212
54,  0.000126792
55,  0.000122426
56,  0.000127155
57,  0.000121518
58,  0.000121711
59,  0.000158222
60,  0.000157637
61,  0.00016551
62,  0.000168624
63,  0.000153033
64,  0.000159708
65,  0.000161745
66,  0.000179352
67,  0.000173107
68,  0.000161886
69,  0.000174565
70,  0.000180303
71,  0.000190111
72,  0.00016877
73,  0.000177436
74,  0.000169965
75,  0.000161496
76,  0.000163964
77,  0.000168511
78,  0.000153881
79,  0.00016057
80,  0.000166385
81,  0.00017868
82,  0.000173605
83,  0.000182283
84,  0.000185001
85,  0.000215476
86,  0.000180081
87,  0.000177312
88,  0.000187082
89,  0.000158899
90,  0.000186915
91,  0.000175596
92,  0.00015859
93,  0.000179731
94,  0.000140908
95,  0.00015022
96,  0.000124467
97,  0.000141405
98,  0.000144302
99,  0.000145628
100,  0.000126063
