# Ping pong run at Tue Mar 12 10:49:28 2024
# Data Size 8
# iteration, total time taken
ac-361
# Processor 1 with MPI name: lac-421
# iteration, total time taken
1,  0.0018226
2,  0.000193822
3,  0.00020517
4,  0.000185356
5,  0.000188861
6,  0.000184438
7,  0.000185684
8,  0.000188452
9,  0.000205169
10,  0.000186051
11,  0.000189225
12,  0.000192177
13,  0.000212516
14,  0.000212627
15,  0.00018465
16,  0.000168835
17,  0.000191867
18,  0.000188406
19,  0.000182307
20,  0.000187607
21,  0.000192537
22,  0.00018876
23,  0.000196537
24,  0.00019078
25,  0.000188887
26,  0.000187255
27,  0.000189736
28,  0.000185551
29,  0.00020155
30,  0.00019438
31,  0.000186326
32,  0.00019068
33,  0.000185278
34,  0.000187969
35,  0.000156587
36,  0.000184616
37,  0.000183704
38,  0.000187825
39,  0.00018594
40,  0.000184338
41,  0.000188657
42,  0.000185395
43,  0.000183905
44,  0.000198154
45,  0.000184112
46,  0.000188957
47,  0.000192471
48,  0.000201468
49,  0.000185138
50,  0.00018231
51,  0.000192254
52,  0.000188328
53,  0.00019573
54,  0.000195119
55,  0.000205799
56,  0.000187946
57,  0.000192803
58,  0.000196049
59,  0.000204905
60,  0.000188671
61,  0.000194512
62,  0.000193229
63,  0.000186545
64,  0.000184632
65,  0.000202843
66,  0.000196254
67,  0.000184169
68,  0.00019066
69,  0.000183099
70,  0.000186922
71,  0.000195865
72,  0.000193561
73,  0.000187034
74,  0.000205365
75,  0.000192323
76,  0.000188478
77,  0.000194122
78,  0.000195247
79,  0.000181854
80,  0.000211907
81,  0.000201163
82,  0.000183767
83,  0.000188262
84,  0.000187781
85,  0.000180178
86,  0.00020821
87,  0.000209711
88,  0.000187299
89,  0.000192787
90,  0.000196511
91,  0.000185966
92,  0.000182597
93,  0.000192956
94,  0.000186636
95,  0.000203666
96,  0.00019093
97,  0.00018339
98,  0.000187439
99,  0.000196009
100,  0.000188147
