# Ping pong run at Thu Mar  7 11:26:02 2024
# Data Size 4
# iteration, total time taken
ev-intel18
# Processor 1 with MPI name: dev-intel18
# iteration, total time taken
1,  9.0654e-05
2,  3.077e-06
3,  2.258e-06
4,  2.088e-06
5,  1.93e-06
6,  1.924e-06
7,  1.866e-06
8,  1.864e-06
9,  6.222e-06
10,  2.577e-06
11,  1.854e-06
12,  1.901e-06
13,  1.833e-06
14,  6.405e-06
15,  6.216e-06
16,  6.526e-06
17,  1.92e-06
18,  2.011e-06
19,  2.146e-06
20,  1.93e-06
21,  1.923e-06
22,  2.083e-06
23,  2e-06
24,  2.419e-06
25,  2.126e-06
26,  5.119e-06
27,  1.939e-06
28,  1.897e-06
29,  2.202e-06
30,  1.968e-06
31,  1.997e-06
32,  4.825e-06
33,  1.869e-06
34,  2.221e-06
35,  1.856e-06
36,  2.136e-06
37,  1.837e-06
38,  2.238e-06
39,  1.888e-06
40,  1.919e-06
41,  1.867e-06
42,  1.895e-06
43,  2.157e-06
44,  1.862e-06
45,  1.907e-06
46,  1.863e-06
47,  1.872e-06
48,  1.923e-06
49,  1.825e-06
50,  1.942e-06
51,  1.848e-06
52,  1.87e-06
53,  2.138e-06
54,  2.173e-06
55,  1.959e-06
56,  1.877e-06
57,  1.875e-06
58,  3.819e-06
59,  1.856e-06
60,  1.909e-06
61,  1.841e-06
62,  1.9e-06
63,  1.995e-06
64,  4.099e-06
65,  1.97e-06
66,  1.978e-06
67,  1.922e-06
68,  1.97e-06
69,  7.201e-06
70,  6.401e-06
71,  2.203e-06
72,  1.855e-06
73,  1.853e-06
74,  1.947e-06
75,  1.893e-06
76,  1.863e-06
77,  1.846e-06
78,  6.332e-06
79,  6.375e-06
80,  6.351e-06
81,  1.824e-06
82,  1.977e-06
83,  1.882e-06
84,  1.906e-06
85,  1.885e-06
86,  1.873e-06
87,  1.904e-06
88,  2.246e-06
89,  2.024e-06
90,  3.863e-06
91,  1.914e-06
92,  1.893e-06
93,  1.895e-06
94,  1.899e-06
95,  6.375e-06
96,  7.249e-06
97,  3.203e-06
98,  2.183e-06
99,  2.001e-06
100,  2.025e-06
